product_id,product_name,category_id,description,price
1,Apple iPhone 15,1331,"Apple smartphone with A16 Bionic chip, OLED display, advanced cameras and long battery life.",799.0
2,Samsung Galaxy S24,1283,"Samsung flagship smartphone with AMOLED display, advanced cameras, fast performance and all-day battery.",799.99
3,Google Pixel 8,913,"Google smartphone with Tensor processor, excellent computational photography and clean Android experience.",549.0
4,OnePlus 12,1600,"High-performance Android smartphone with AMOLED display, fast charging and flagship processor.",699.99
5,Apple iPhone 15 Pro,79,"Premium Apple smartphone with Pro camera system, titanium design, A17 Pro chip and OLED display.",999.0
6,Samsung Galaxy S24 Ultra,834,"Premium Samsung smartphone with large AMOLED display, high-resolution cameras, S Pen support and powerful performance.",1299.99
7,Google Pixel 8 Pro,981,"Premium Google smartphone featuring advanced cameras, Tensor processing and a high-quality OLED display.",899.0
8,OnePlus Nord CE 4,1454,"Mid-range Android smartphone with AMOLED display, capable cameras and fast charging.",329.0
9,Apple AirPods Pro 2,86,"Wireless noise-cancelling earbuds with spatial audio, adaptive audio and a compact charging case.",249.0
10,Samsung Galaxy Buds2 Pro,866,"Compact wireless earbuds with active noise cancellation, clear sound and comfortable in-ear design.",189.99
11,Sony WH-1000XM5,496,"Premium wireless headphones with active noise cancellation, high-quality audio and long battery life.",399.99
12,JBL Tune 770NC,74,"Wireless over-ear headphones with active noise cancellation, strong bass and extended battery life.",129.95
13,Bose QuietComfort Headphones,1048,Comfort-focused wireless headphones with adjustable noise cancellation and balanced audio.,349.0
14,JBL Flip 6,263,"Portable Bluetooth speaker with powerful sound, waterproof construction and travel-friendly design.",129.95
15,Sony SRS-XB100,1440,"Compact Bluetooth speaker with clear sound, extra bass and water-resistant construction.",59.99
16,Apple MacBook Air M2,1404,Lightweight Apple laptop powered by the M2 chip with a sharp display and long battery life.,999.0
17,Apple MacBook Air M3,94,"Slim Apple laptop with M3 performance, high-resolution display and long battery life for everyday work.",1099.0
18,Dell Inspiron 15,632,"Everyday Windows laptop suitable for study, office work, browsing and multimedia tasks.",649.99
19,HP Pavilion 14,716,Compact laptop designed for students and everyday productivity with a bright display and modern processor.,699.0
20,Lenovo IdeaPad Slim 3,793,"Affordable productivity laptop with a slim design, full-size keyboard and dependable everyday performance.",579.99
21,ASUS Vivobook 15,1027,"Versatile laptop with a large display, comfortable keyboard and performance suited to study and office work.",599.99
22,Acer Aspire 5,321,"Value-focused laptop offering solid performance for programming, study, browsing and productivity.",649.0
23,Microsoft Surface Laptop 5,880,"Premium Windows laptop with a sharp touchscreen, slim build and strong productivity performance.",999.99
24,Logitech MX Master 3S,498,"Ergonomic wireless mouse with precise tracking, quiet clicks and customizable buttons for productivity.",99.99
25,Logitech MX Keys S,1519,"Wireless productivity keyboard with backlit keys, comfortable typing and multi-device support.",109.99
26,Logitech G502 HERO,428,"Gaming mouse with a high-precision sensor, programmable buttons and customizable weight system.",79.99
27,Razer DeathAdder V2,802,Ergonomic gaming mouse with a high-precision optical sensor and responsive programmable buttons.,69.99
28,Razer BlackWidow V3,970,"Mechanical gaming keyboard with responsive switches, RGB lighting and dedicated media controls.",139.99
29,Keychron K2,288,Compact wireless mechanical keyboard with comfortable keys and multi-device connectivity.,89.0
30,Apple Magic Keyboard,1173,Slim wireless keyboard designed for Mac users with a compact layout and rechargeable battery.,99.0
31,Samsung T7 Portable SSD 1TB,1286,Compact portable solid-state drive offering fast data transfers and secure external storage.,89.99
32,SanDisk Extreme Portable SSD 1TB,618,Rugged portable SSD with fast transfer speeds and a compact design for backups and media files.,99.99
33,WD Elements 2TB,1522,"Portable external hard drive providing large-capacity storage for documents, photos and backups.",69.99
34,Seagate Portable 2TB,194,"External portable hard drive designed for convenient file storage, backups and media libraries.",64.99
35,Amazon Kindle Paperwhite,849,"E-reader with a high-resolution glare-free display, adjustable warm light and long battery life.",149.99
36,Apple iPad 10th Generation,330,"Versatile tablet with a large Liquid Retina display, capable processor and support for everyday productivity.",349.0
37,Samsung Galaxy Tab S9,947,"Premium Android tablet with AMOLED display, powerful performance and S Pen support.",799.99
38,Lenovo Tab P12,28,"Large-screen Android tablet suitable for streaming, reading, study and light productivity.",299.99
